customer_no,survey_id_2,datesubmit_2,sample2_2,sample3_2,countmisq1_2,countmisq2_2,q1ar_2,q1br_2,q1cr_2,q1dr_2,q1er_2,q1fr_2,q1gr_2,q1hr_2,q1ir_2,q1jr_2,q1kr_2,q2ar_2,q2br_2,q2cr_2,q2dr_2,q2er_2,q2fr_2,q2gr_2,q2hr_2,q2ir_2,q2jr_2,q2kr_2,q2lr_2,q1sum_2,q2sum_2,q1opera_sum,q1musical_sum,q1recital_sum,q2opera_sum,q2musical_sum,q2recital_sum,age3,q1category,q1opera,q1musical,q1recital,q1program_sum,q2opera,q2musical,q2recital,q2program_sum,misq1r_2
 ,483,2/4/17,2,1,11,11, , , , , , , , , , , ,0,0,0,0,0,1,0,0,0,0,0,0, ,1, , , ,0,1,0,1, ,0,0,0, ,0,1,0,1,11
 ,1090,2/13/17,2,1,11,9, , , , , , , , , , , ,1,0,0,1,0,0,0,1,0,0,0,0, ,3, , , ,1,1,1, , ,0,0,0, ,1,1,1,3,11
116050,1068,2/13/17,2,1,5,12,1,1,0,0,0,0,1,1,0,1,1, , , , , , , , , , , , ,6, ,2,0,2, , , , ,5,1,0,1,4,0,0,0, ,0
239279,374,2/4/17,2,1,11,9, , , , , , , , , , , ,1,0,0,1,0,0,1,0,0,0,0,0, ,3, , , ,1,1,1, , ,0,0,0, ,1,1,1,3,11
292332,108,2/4/17,2,1,7,12,0,0,1,0,0,1,0,0,0,1,1, , , , , , , , , , , , ,4, ,1,0,1, , , , ,5,1,0,1,4,0,0,0, ,0
413071,156,2/4/17,2,1,11,9, , , , , , , , , , , ,0,0,1,0,1,1,0,0,0,0,0,0, ,3, , , ,1,2,0, , ,0,0,0, ,1,1,0,2,11
414615,898,2/13/17,2,1,11,0, , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1, ,12, , , ,3,3,4, , ,0,0,0, ,1,1,1,5,11
418298,1147,2/13/17,2,1,8,12,0,0,0,0,1,1,1,0,0,0,0, , , , , , , , , , , , ,3, ,0,1,2, , , , ,3,0,1,1,2,0,0,0, ,0
438054,1089,2/13/17,2,1,11,9, , , , , , , , , , , ,0,0,0,1,1,1,0,0,0,0,0,0, ,3, , , ,0,3,0, , ,0,0,0, ,0,1,0,1,11
441579,1211,2/14/17,2,1,8,12,0,1,0,0,0,1,1,0,0,0,0, , , , , , , , , , , , ,3, ,1,0,2, , , , ,3,1,0,1,2,0,0,0, ,0
444568,251,2/4/17,2,1,7,12,1,1,0,0,1,0,0,0,0,1,0, , , , , , , , , , , , ,4, ,2,1,0, , , , ,4,1,1,0,3,0,0,0, ,0
444741,471,2/4/17,2,1,7,12,1,1,1,0,0,0,0,1,0,0,0, , , , , , , , , , , , ,4, ,3,0,1, , , , ,3,1,0,1,2,0,0,0, ,0
457249,340,2/4/17,2,1,11,3, , , , , , , , , , , ,1,0,0,0,1,1,1,1,1,1,1,1, ,9, , , ,1,2,4, , ,0,0,0, ,1,1,1,5,11
462263,1250,2/16/17,2,1,10,12,1,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , ,1, ,1,0,0, , , , , ,1,0,0,1,0,0,0, ,0
466111,353,2/4/17,2,1,11,7, , , , , , , , , , , ,1,0,0,0,1,1,1,0,0,1,0,0, ,5, , , ,1,2,2, , ,0,0,0, ,1,1,1,3,11
474982,692,2/5/17,2,1,6,12,1,1,0,1,1,0,0,0,0,0,1, , , , , , , , , , , , ,5, ,2,2,0, , , , ,5,1,1,0,3,0,0,0, ,0
487328,412,2/4/17,2,1,6,12,1,0,0,1,1,1,0,0,0,1,0, , , , , , , , , , , , ,5, ,1,2,1, , , , ,4,1,1,1,4,0,0,0, ,0
489554,486,2/4/17,2,1,11,7, , , , , , , , , , , ,1,0,0,1,1,1,0,0,0,1,0,0, ,5, , , ,1,3,1, , ,0,0,0, ,1,1,1,3,11
